transect,row,positionX,position,Diptera (Agromyzidae: leafminer?),Braconid wasp,"Halictus sp. (""3 part"" native bee)",pencilBug,"Agapostemon sp. (""green"" native bee)",Osmia sp. (native bee),Honey Bee,Bombus californicus (bumble),Thomisidae (crab spider),spider other,ladyBug,Lygus hesperus (western tarnished plant bug),pentamonidae  (stinkBug),other,checkerspot butterfly,Pyralidae (Snout Moth),Diabrotica undecimpunctata (Cucumber Beetle),Orius (pirate bug),date,time,julian,week
oakMargin,83,48,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,64,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,80,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,100,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,130,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,160,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,200,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,32,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,100,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,130,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6-Jun-2018,pm,156,23
control,48,200,10,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,100,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,130,8,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,50,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6-Jun-2018,pm,156,23
control,50,200,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,48,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,64,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6-Jun-2018,pm,156,23
control,52,80,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,130,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,160,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,52,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
control,48,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,48,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
control,48,32,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,48,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,48,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
control,48,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
control,48,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,48,130,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,48,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,48,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,64,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,80,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,50,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
control,50,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
control,52,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,130,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,160,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
control,52,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,16,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,100,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,130,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,100,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,130,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,81,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,64,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,80,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,83,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7-Jun-2018,am,157,23
oakMargin,79,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,32,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,48,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,64,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,80,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,100,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,79,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,16,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,48,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,64,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,80,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,160,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,81,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,32,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,48,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,64,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,80,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,100,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,160,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
oakMargin,83,200,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,pm,157,23
control,48,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,32,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,48,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,64,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,80,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,100,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,130,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,160,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,200,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,48,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,80,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,100,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7-Jun-2018,pm,157,23
control,50,160,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,50,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,52,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,52,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7-Jun-2018,pm,157,23
control,52,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7-Jun-2018,pm,157,23
control,52,48,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,52,64,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7-Jun-2018,pm,157,23
control,52,80,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,52,100,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,52,130,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,52,160,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,52,200,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7-Jun-2018,pm,157,23
control,48,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,48,16,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,48,32,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,48,48,4,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,48,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8-Jun-2018,pm,158,23
control,48,80,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,48,100,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,48,130,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,48,160,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,48,200,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,4,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,32,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,48,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,80,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,130,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,160,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,50,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8-Jun-2018,pm,158,23
control,52,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8-Jun-2018,pm,158,23
control,52,16,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,52,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8-Jun-2018,pm,158,23
control,52,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,52,64,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8-Jun-2018,pm,158,23
control,52,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,52,100,7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,52,130,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,52,160,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
control,52,200,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,16,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,32,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,64,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,100,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,130,8,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
oakMargin,79,160,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8-Jun-2018,pm,158,23
